"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"218289_s_at",0.463322895101125,8.09975693043064,2.99052920092086,0.0035897783053484,0.00453104282191449,-2.5542209666739
"218290_at",0.515511244179411,7.5487361566746,2.99033286899343,0.00359187556738491,0.00453343320691238,-2.55475400630492
"218291_at",0.436377738208116,8.71191019292966,2.98912504469123,0.00360480276509506,0.00454949139185621,-2.55803261048613
"218292_s_at",0.581642743068532,7.74166827655318,2.98859905881936,0.003610445763449,0.00455635515358975,-2.55946004553831
"218293_x_at",0.565231829846953,8.46945814854619,2.98853306364414,0.00361115436393948,0.00455699131791049,-2.55963913057704
"218294_s_at",0.523630220546286,8.60689561771972,2.98812160535264,0.00361557515664536,0.00456231163800491,-2.56075559419724
"218295_s_at",0.892260570579493,8.39896592762366,2.98705344102869,0.00362707510178933,0.00457656367458502,-2.56365339758061
"218296_x_at",0.410965027151384,10.13792553292,2.98660910106224,0.00363186885478566,0.00458235285041553,-2.56485858982873
"218297_at",0.426427947366016,6.13906448477733,2.98530793411931,0.00364594017992775,0.00459984628181011,-2.56838692787265
"218298_s_at",0.49631008585276,9.19832375779525,2.98526586594565,0.00364639596148285,0.00460016085657716,-2.56850098198032
"218299_at",0.451892767211181,9.87019410600594,2.98517457365281,0.00364738523584171,0.00460114839279104,-2.56874848668248
"218300_at",0.444767499326097,11.4038830508874,2.98407921442333,0.00365927428513627,0.00461588502098452,-2.57171765833586
"218301_at",0.479750541129399,8.35074431659134,2.98354108645818,0.0036651282498596,0.00462300763000235,-2.57317602615789
"218302_at",0.548660201703379,6.52840325896916,2.98316773619817,0.00366919478401521,0.00462787498569145,-2.57418770741344
"218303_x_at",0.46564420984731,8.77323496823005,2.9827806950586,0.00367341484190954,0.00463293541556884,-2.57523637801946
"218304_s_at",0.520269052059397,10.5945389848871,2.9826161573175,0.00367521021864061,0.00463493742158405,-2.57568215192808
"218305_at",0.517307350864107,10.3533719683089,2.98198025266187,0.00368215660944999,0.00464343495916095,-2.57740478761089
"218306_s_at",0.415578974243283,9.38142658092032,2.98186517190619,0.00368341500577245,0.00464475901610705,-2.57771650382839
"218307_at",0.359158744561107,10.812410474736,2.98152839840922,0.00368709987372436,0.00464914251279991,-2.57862865679463
"218308_at",0.854544720705707,6.63697143063945,2.98143843555347,0.00368808479503485,0.00465012128601604,-2.57887230744283
"218309_at",0.405796837648115,6.83402719240307,2.98118531949266,0.00369085723684849,0.00465335361597233,-2.57955780134242
"218310_at",0.389439204110974,5.44464203816667,2.9810991942065,0.0036918010272171,0.00465428018610912,-2.57979103667904
"218311_at",0.534422245193937,9.10126333526843,2.98065155462299,0.00369671000863514,0.00466020531355605,-2.58100319776366
"218312_s_at",0.423677872484434,6.5379930892288,2.98022598006494,0.00370138261043887,0.0046658317988578,-2.58215547093755
"218313_s_at",0.324347744890392,4.09719034567067,2.97964314002954,0.00370779076813483,0.00467364530412651,-2.58373333300773
"218314_s_at",0.35240994767543,10.3950478727885,2.97880686770134,0.00371700325248266,0.00468499256038639,-2.58599684467801
"218315_s_at",0.512223774413056,9.21361218425352,2.97858881682678,0.00371940880367635,0.0046877594101991,-2.58658695055161
"218316_at",0.450681709474611,10.5109843028966,2.97849851821426,0.00372040540494984,0.00468874437342098,-2.58683131317602
"218317_x_at",0.631064749649689,8.64561004073179,2.97847988014151,0.00372061113902211,0.00468874437342098,-2.58688175005503
"218318_s_at",0.433511705279048,7.29445149209814,2.97845358445345,0.00372090141861953,0.00468884500995866,-2.58695290892781
"218319_at",0.563383074403538,10.383700606611,2.97831934641695,0.00372238360611302,0.00469044751724816,-2.58731616303284
"218320_s_at",0.544491081276324,9.96007259228325,2.97810809986052,0.00372471718712201,0.00469312259432512,-2.58788777848149
"218321_x_at",0.757614733661964,9.10746840212997,2.97803443904585,0.00372553121517367,0.00469388284901701,-2.58808709065782
"218322_s_at",0.397758494559896,9.10223103886313,2.97779139145261,0.00372821830833471,0.00469700280231935,-2.58874470266291
"218323_at",0.347971329740311,7.8698299773005,2.97776983798693,0.00372845668624946,0.00469703755877978,-2.58880301758828
"218324_s_at",0.496567716068386,8.39775196497487,2.97732355506105,0.00373339567095725,0.00470299370998589,-2.59001040029819
"218325_s_at",0.604518930828174,7.41822024412139,2.97656141837754,0.00374184416992076,0.00471336990606807,-2.59207195748108
"218326_s_at",0.595540316612534,7.66967216741818,2.97646431844005,0.00374292181785662,0.00471446084830135,-2.59233457890346
"218327_s_at",0.456633923717335,7.79168119097307,2.97615421175309,0.00374636540755839,0.00471853156096675,-2.59317326222058
"218328_at",0.54873412315952,8.9066375819205,2.9757995513653,0.00375030733382302,0.00472322943082453,-2.59413235327565
"218329_at",0.716879975834007,7.93638440097522,2.97550317035824,0.00375360444440727,0.00472711471881582,-2.59493377040814
"218330_s_at",0.722402117755662,8.72685032961518,2.97514457953668,0.00375759719293911,0.00473187557221035,-2.59590331609435
"218331_s_at",0.58107011538835,8.1169246727233,2.97510852648732,0.0037579988445677,0.00473211393837602,-2.59600078981058
